sub44,27248070,27248319,0
sub4,42659208,42659457,0
sub21,13709534,13709783,0
mSu,2241977,2242226,1
sub13,7142791,7143046,1
sub13,5336390,5336645,1
sub24,75309953,75310202,0
sub30,4634127,4634376,0
sub4,107870686,107870935,0
sub45,10877112,10877361,0
sub15,47736032,47736281,0
sub36,1145874,1146123,1
sub29,42358509,42358758,1
sub35,36271591,36271840,1
sub38,35161445,35161694,0
sub34,45583770,45584019,0
sub18,5066560,5066809,0
sub38,41218137,41218386,0
sub29,59680670,59680919,1
sub26,108953381,108953630,0
sub44,110696496,110696745,0
sub36,5685478,5685727,1
sub3,10817487,10817742,0
sub39,113670218,113670467,1
sub33,25242036,25242285,0
sub35,5660549,5660798,1
sub15,106165995,106166244,0
sub36,64580223,64580472,1
sub36,26004769,26005018,1
sub36,107480312,107480561,1
sub43,10683120,10683369,0
sub17,50927539,50927788,0
sub33,114266687,114266936,0
sub39,44317652,44317901,1
sub8,13115146,13115395,0
sub38,25112828,25113077,0
sub18,45380353,45380602,0
sub9,77154849,77155098,0
sub23,21543647,21543896,0
sub38,12284656,12284905,0
sub13,27323318,27323573,1
sub25,5393668,5393917,1
sub19,14717220,14717469,0
sub13,69469003,69469258,1
sub48,16010448,16010703,0
sub34,62077679,62077928,0
sub20,71902689,71902938,0
sub7,30299911,30300166,0
sub39,58776372,58776621,1
sub37,26612730,26612979,1
sub12,4292420,4292675,0
sub33,82090149,82090398,0
sub21,82229487,82229736,0
sub3,38586841,38587096,0
sub38,85031380,85031629,0
sub4,1086591,1086840,0
sub20,71910930,71911179,0
sub35,27243452,27243701,1
sub6,18609271,18609526,0
sub14,25735354,25735603,0
sub9,30173483,30173732,1
sub44,97432212,97432461,0
sub26,41413500,41413749,0
sub9,9297413,9297662,1
sub45,14400914,14401163,0
sub27,46044404,46044653,1
sub6,59025415,59025670,0
mSu,1151205,1151454,1
sub11,17441909,17442158,1
sub3,83583530,83583785,0
sub18,80831107,80831356,0
sub18,51046252,51046501,0
sub6,36159786,36160041,0
sub6,71884216,71884471,0
sub43,43451960,43452209,0
sub33,56212459,56212708,0
sub25,49059572,49059821,1
sub29,26997643,26997892,1
sub13,52095450,52095705,0
sub19,50474735,50474984,0
sub27,109082194,109082443,1
sub20,47097194,47097443,0
sub13,36548438,36548693,0
sub31,149942644,149942893,0
sub46,76990615,76990864,0
sub10,97655331,97655586,1
sub37,49772475,49772724,1
sub36,11730330,11730579,1
sub33,88529409,88529658,0
sub9,11842027,11842276,1
sub40,20134499,20134754,1
sub6,63149060,63149315,0
sub44,71569937,71570186,0
sub34,12577891,12578140,0
sub47,75333993,75334242,1
sub33,6988369,6988618,0
sub40,86122815,86123070,1
sub14,44442140,44442389,0
sub18,34139160,34139409,0
sub7,29071467,29071722,0
sub2,115349064,115349319,0
sub31,146131597,146131846,1
sub6,87338161,87338416,0
sub39,69599592,69599841,1
sub20,28258846,28259095,0
sub37,15367739,15367988,0
sub3,93752918,93753173,1
sub32,66080120,66080369,0
sub31,65661535,65661784,0
sub18,67121850,67122099,0
sub14,66245023,66245272,0
sub39,102732025,102732274,0
sub24,62871236,62871485,0
sub47,61835271,61835520,1
sub3,105900012,105900267,0
sub30,18301198,18301447,0
mSu,1513801,1514050,1
sub31,94796667,94796916,1
sub18,11694938,11695187,1
sub2,52589402,52589657,0
sub7,82614898,82615153,0
sub17,116083783,116084032,0
sub36,63233703,63233952,1
sub7,108978482,108978737,0
sub11,40639675,40639924,0
sub9,44899160,44899409,1
sub4,88839915,88840164,0
sub7,5129362,5129617,1
sub35,17819023,17819272,1
sub32,35467077,35467326,0
sub30,1117049,1117298,0
sub45,16313020,16313269,0
sub36,90041159,90041408,1
sub17,85147085,85147334,0
sub27,77866581,77866830,1
sub12,28654749,28655004,0
sub21,30704217,30704466,0
sub39,118864966,118865215,1
sub2,66894545,66894800,0
sub4,111319623,111319872,0
mSu,452956,453205,0
sub46,3057635,3057884,0
sub33,149771706,149771955,0
sub25,52179324,52179573,1
sub44,86724360,86724609,0
sub5,16466728,16466977,0
sub7,4761556,4761811,1
sub46,59599713,59599962,0
sub19,138162186,138162435,0
sub47,94242329,94242578,1
mSu,5175285,5175534,1
sub15,107557549,107557798,0
sub10,37777897,37778152,1
sub33,100871711,100871960,0
sub19,84586113,84586362,0
sub37,39214424,39214673,1
sub26,131034657,131034906,0
sub24,8170071,8170320,0
sub35,51087491,51087740,1
sub16,97544385,97544640,1
sub16,89036498,89036753,1
sub21,55744461,55744710,1
sub9,15103432,15103681,1
sub14,59052875,59053124,0
sub38,84708396,84708645,0
sub1,109382595,109382844,1
sub45,15709815,15710064,0
sub34,59736916,59737165,1
sub9,32338417,32338666,1
sub32,44117012,44117261,0
sub30,12187257,12187506,0
sub7,94438008,94438263,0
sub37,62797780,62798029,1
sub8,135562536,135562785,1
sub26,173455254,173455503,0
sub14,14557292,14557541,0
sub15,34124297,34124546,0
sub24,89645065,89645314,0
sub30,5234150,5234399,0
sub18,4493004,4493253,0
sub24,42700562,42700811,0
mSu,5477369,5477618,1
sub23,126896979,126897228,0
sub5,29485043,29485292,0
sub46,154269377,154269626,0
sub35,31711674,31711923,1
sub15,151991576,151991825,0
sub31,130547054,130547303,0
sub18,61667766,61668015,0
sub41,32045332,32045581,0
sub26,219852322,219852571,0
sub26,74193696,74193945,0
sub30,18587903,18588152,0
sub37,27815199,27815448,1
sub23,98564804,98565053,0
sub48,12133688,12133943,0
sub41,73445589,73445838,1
sub47,4447340,4447589,1
sub16,66551319,66551574,1
sub12,26551985,26552240,0
sub34,51143967,51144216,0
sub28,93873590,93873839,0
sub21,32482943,32483192,0
sub35,43909162,43909411,1
sub12,84251894,84252149,0
